date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
2014-03-15,Rice - Retail,KG,cereals and tubers,8.6567,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2014-04-15,Rice - Retail,KG,cereals and tubers,9.4033,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2014-05-15,Rice - Retail,KG,cereals and tubers,9.8967,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2014-06-15,Rice - Retail,KG,cereals and tubers,10.2567,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2014-07-15,Rice - Retail,KG,cereals and tubers,10.2933,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2014-08-15,Rice - Retail,KG,cereals and tubers,10.4033,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2014-09-15,Rice - Retail,KG,cereals and tubers,11.45,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2014-10-15,Rice - Retail,KG,cereals and tubers,12.7,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2014-11-15,Rice - Retail,KG,cereals and tubers,13.3267,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2014-12-15,Rice - Retail,KG,cereals and tubers,15.2,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-01-15,Rice - Retail,KG,cereals and tubers,17.4533,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-02-15,Rice - Retail,KG,cereals and tubers,18.7333,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-03-15,Rice - Retail,KG,cereals and tubers,24.0067,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-04-15,Rice - Retail,KG,cereals and tubers,23.1,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-05-15,Rice - Retail,KG,cereals and tubers,21.8567,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-06-15,Rice - Retail,KG,cereals and tubers,19.97,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-07-15,Rice - Retail,KG,cereals and tubers,18.44,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-08-15,Rice - Retail,KG,cereals and tubers,18.01,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-09-15,Rice - Retail,KG,cereals and tubers,17.8133,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-10-15,Rice - Retail,KG,cereals and tubers,17.3267,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-11-15,Rice - Retail,KG,cereals and tubers,16.9367,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2015-12-15,Rice - Retail,KG,cereals and tubers,17.06,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2016-01-15,Rice - Retail,KG,cereals and tubers,16.9433,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2016-02-15,Rice - Retail,KG,cereals and tubers,16.5867,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2016-03-15,Rice - Retail,KG,cereals and tubers,16.2133,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2016-04-15,Rice - Retail,KG,cereals and tubers,15.8367,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2016-05-15,Rice - Retail,KG,cereals and tubers,15.65,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2016-06-15,Rice - Retail,KG,cereals and tubers,15.28,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2016-07-15,Rice - Retail,KG,cereals and tubers,15.34,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2016-08-15,Rice - Retail,KG,cereals and tubers,15.46,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
2016-09-15,Rice - Retail,KG,cereals and tubers,15.9467,UAH,Ukraine,,0,National Average,1295,52,15,5,1,1295_52_15_5,
